id,date_detection,priorite,score,statut,titre,organisme,type_financement,zone,themes,montant,deadline,lien,eligibilite_ambition_campus,pieces_probables,responsable,prochaine_action,notes
6e582a91a9,2026-06-20,A - à traiter vite,82,nouveau,L’appel à projets 2025 pour soutenir le mentorat | Associations.gouv.fr,Associations.gouv - Appels à projets,appel à projets,France,aide aux étudiants; jeunesse; éducation/orientation; vie associative; Europe,,,https://associations.gouv.fr/lappel-projets-2025-pour-soutenir-le-mentorat,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; financement; mecenat; mécénat; association
6c0d270ae9,2026-06-20,A - à traiter vite,82,nouveau,Appel à projets P’INS | Associations.gouv.fr,Associations.gouv - Financements privés,appel à projets,France,aide aux étudiants; jeunesse; vie associative; Europe,,,https://associations.gouv.fr/appel-projets-pins,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; financement; mecenat; mécénat; association
5c86545000,2026-06-20,A - à traiter vite,82,nouveau,Appel à projets innovation sociale du FSE | Associations.gouv.fr,Associations.gouv - Europe,appel à projets,Europe,aide aux étudiants; jeunesse; vie associative; Europe,,,https://associations.gouv.fr/appel-projets-innovation-sociale-du-fse,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; financement; mecenat; mécénat; association
9f8ce9c7b6,2026-06-20,A - à traiter vite,76,nouveau,Les appels à projets de la Ville de Paris - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,appel à projets,Paris,égalité des chances; jeunesse; insertion; vie associative,,Date limite de dépôt des dossiers : jeudi 18 juin 2026 à 23H59 Cet appel à projets concerne des « actions de re,https://www.paris.fr/pages/repondre-a-un-appel-a-projets-5412,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; financement; association; associations; jeune
e81c9467c0,2026-06-20,A - à traiter vite,75,nouveau,Règlement du concours 2026 - Fondation la France s’engage,La France s'engage,subvention,France,égalité des chances; éducation/orientation; insertion; vie associative,,,https://fondationlafrancesengage.org/le-concours/reglement-du-concours-2026/,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; mecenat; mécénat; association; education
2c7c94d244,2026-06-20,A - à traiter vite,70,nouveau,Appel à projets collaborateurs 2026 | Fondation groupe RATP,Fondation Groupe RATP - Appels à projets,subvention,Île-de-France,jeunesse; insertion; vie associative,jusqu'au bilan,jusqu'au bilan,https://ratpgroup.com/fr/le-groupe-ratp/fondation-groupe-ratp/appel-a-projets/,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; mecenat; mécénat; association; associations
cf9da1409b,2026-06-20,A - à traiter vite,69,nouveau,Appel à projet 2026 « actions de remobilisation des - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,subvention,Paris,égalité des chances; jeunesse; insertion; vie associative,,,https://www.paris.fr/pages/appel-a-projet-actions-de-remobilisation-des-jeunes-des-quartiers-populaires-35271,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; subvention; association; associations; jeune
297d0718bc,2026-06-20,A - à traiter vite,68,nouveau,Appel à initiatives en faveur de la solidarité internationale | Associations.gouv.fr,Associations.gouv - Appels à projets,mécénat/fondation,France,aide aux étudiants; jeunesse; vie associative; Europe,,,https://associations.gouv.fr/appel-initiatives-en-faveur-de-la-solidarite-internationale,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; mecenat; mécénat; association; associations; jeunesse; jeune; jeunes
d01af62624,2026-06-20,A - à traiter vite,67,nouveau,Fondation de France AP - Soutien aux pratiques inclusives | Associations.gouv.fr,Associations.gouv - Financements privés,mécénat/fondation,France,aide aux étudiants; jeunesse; vie associative; Europe,,,https://associations.gouv.fr/fondation-de-france-ap-soutien-aux-pratiques-inclusives,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; mecenat; mécénat; association; associations; jeunesse; jeune; jeunes
ca867f5da5,2026-06-20,A - à traiter vite,66,nouveau,Le concours de la France s’engage | Associations.gouv.fr,Associations.gouv - Financements privés,mécénat/fondation,France,aide aux étudiants; jeunesse; vie associative; Europe,,,https://associations.gouv.fr/le-concours-de-la-france-sengage,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; mecenat; mécénat; association; associations; jeunesse; jeune; jeunes
8ddd9ded6b,2026-06-20,A - à traiter vite,65,nouveau,Créart'UP : entreprendre dans l'art et la culture - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,appel à projets,Paris,aide aux étudiants,"jusqu'au 1er juillet 2026, ce dispositif s’adresse aux étudiants (ou diplômés depuis mo","jusqu'au 1er juillet 2026, ce dispositif s’adresse aux étudiants (ou diplômés depuis moins de deux ans) de P",https://www.paris.fr/pages/creart-up-entreprendre-dans-l-art-et-la-culture-pour-les-etudiants-35412,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; etudiant; étudiant; etudiante; étudiante
4e1bc8d0e4,2026-06-20,A - à traiter vite,63,nouveau,Appel à projets pour l'orientation des franciliens tout au long de la vie | Région Île-de-France,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; éducation/orientation; insertion; vie associative,,,https://www.iledefrance.fr/aides-et-appels-a-projets/appel-projets-pour-lorientation-des-franciliens-tout-au-long-de-la-vie,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; financement; association; associations; etudiant
78f5307407,2026-06-20,A - à traiter vite,62,nouveau,Soutien aux associations employeuses | Associations.gouv.fr,Associations.gouv - Appels à projets,mécénat/fondation,France,aide aux étudiants; jeunesse; vie associative; Europe,,,https://associations.gouv.fr/soutien-aux-associations-employeuses,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; mecenat; mécénat; association; associations; jeunesse; jeune; jeunes
79180f5cda,2026-06-20,A - à traiter vite,62,nouveau,"FDVA formation Certif'Asso, la campagne 2026 | Associations.gouv.fr",Associations.gouv - Appels à projets,mécénat/fondation,France,aide aux étudiants; jeunesse; vie associative; Europe,,,https://associations.gouv.fr/fdva-formation-certifasso-la-campagne-2026,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; mecenat; mécénat; association; associations; jeunesse; jeune; jeunes
5ba6bb0ce9,2026-06-20,A - à traiter vite,62,nouveau,"FDVA formation, la campagne 2026 | Associations.gouv.fr",Associations.gouv - Appels à projets,mécénat/fondation,France,aide aux étudiants; jeunesse; vie associative; Europe,,,https://associations.gouv.fr/fdva-formation-la-campagne-2026,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; mecenat; mécénat; association; associations; jeunesse; jeune; jeunes
8240b9db11,2026-06-20,A - à traiter vite,62,nouveau,"FDVA ""fonctionnement-innovation"" : les appels à projets 2026 | Associations.gouv.fr",Associations.gouv - Appels à projets,mécénat/fondation,France,aide aux étudiants; jeunesse; vie associative; Europe,,,https://associations.gouv.fr/fdva-fonctionnement-innovation-les-appels-projets-2026,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; mecenat; mécénat; association; associations; jeunesse; jeune; jeunes
3c35f1c142,2026-06-20,A - à traiter vite,60,nouveau,Candidatez pour « Sport seniors en plein air » - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,subvention,Paris,éducation/orientation; vie associative,,"avant le jeudi 9 juillet 2026, 23h59 sur le lien suivant : Paris Asso Si votre organisme n’est pas référencé",https://www.paris.fr/pages/appel-a-projet-sport-seniors-en-plein-air-35407,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; subvention; association; associations; education
c3d6ec80aa,2026-06-20,A - à traiter vite,59,nouveau,Appel à projets Ingénierie et Formations professionnelles (IFP Île-de-France) | Région Île-de-France,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; insertion; vie associative,,,https://www.iledefrance.fr/aides-et-appels-a-projets/appel-projets-ingenierie-et-formations-professionnelles-ifp-ile-de-france,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; financement; association; associations; etudiant
bd69693bb3,2026-06-20,A - à traiter vite,59,nouveau,Appel à projets collaboratifs - Innovation de Rupture et Résilience Industrielle (IRRI) | Région Île-de-France,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; insertion; vie associative,,,https://www.iledefrance.fr/aides-et-appels-a-projets/appel-projets-collaboratifs-innovation-de-rupture-et-resilience-industrielle-irri,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; financement; association; associations; etudiant
44b377a7d0,2026-06-20,A - à traiter vite,58,nouveau,Concours Déclics jeunes : pour les jeunes qui inventent le monde de demain ! - Fondation de France,Fondation de France - Appels à projets,mécénat/fondation,France,égalité des chances; aide aux étudiants; jeunesse; éducation/orientation,,"Date limite de dépôt des dossiers : 15 avril à 17h Déposez votre projet Cette année encore, le concours met l’a",https://www.fondationdefrance.org/fr/appels-a-projets/concours-declics-jeunes-pour-les-jeunes-qui-inventent-le-monde-de-demain,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,jeune; jeunes; education; éducation; inclusion
23c8fffa48,2026-06-20,A - à traiter vite,56,nouveau,Associations de commerçants : préparez vos - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,subvention,Paris,égalité des chances; jeunesse; vie associative,,avant le 1er juillet 2026 à minuit,https://www.paris.fr/pages/associations-de-commercants-preparez-vos-illuminations-de-fetes-de-fin-d-annee-2026-34200,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; subvention; financement; association; associations
