id,date_detection,priorite,score,statut,titre,organisme,type_financement,zone,themes,montant,deadline,deadline_date,deadline_status,deadline_source,lien,eligibilite_ambition_campus,pieces_probables,responsable,prochaine_action,notes
9f8ce9c7b6,2026-07-02,A - à traiter vite,73,nouveau,Les appels à projets de la Ville de Paris - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,appel à projets,Paris,égalité des chances; éducation/orientation; insertion; vie associative,,Date limite de dépôt des dossiers : mercredi 15 juillet 2026 à 23H59 La Quinzaine de l'Accessibilité et de l'Inclusion se tiendra du 19 septembre au 4 octobre 2026 dans les arrondi,2026-10-04,ouvert,https://www.paris.fr/pages/repondre-a-un-appel-a-projets-5412,https://www.paris.fr/pages/repondre-a-un-appel-a-projets-5412,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; financement; association; associations; education
4e1bc8d0e4,2026-07-02,A - à traiter vite,63,nouveau,Appel à projets pour l'orientation des franciliens tout au long de la vie | Région Île-de-France,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; éducation/orientation; insertion; vie associative,,"Dépôt des demandes ouvert jusqu'au 31 décembre 2026 Public Fondation, Créateur d'entreprise, Très petites entreprises, Petites et moyennes entreprises, Établissement d'enseignement",2026-12-31,ouvert,https://www.iledefrance.fr/aides-et-appels-a-projets/appel-projets-pour-lorientation-des-franciliens-tout-au-long-de-la-vie,https://www.iledefrance.fr/aides-et-appels-a-projets/appel-projets-pour-lorientation-des-franciliens-tout-au-long-de-la-vie,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; financement; association; associations; etudiant
3c35f1c142,2026-07-02,A - à traiter vite,60,nouveau,Candidatez pour « Sport seniors en plein air » - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,subvention,Paris,éducation/orientation; vie associative,,"clôture : jeudi 9 juillet 2026, 23h59 Comité de sélection des dossiers : septembre 2026 Vote en conseil de Paris : novembre 2026 ? Votre avis nous intéresse ! Ces informations vous",2026-07-09,ouvert,https://www.paris.fr/pages/appel-a-projet-sport-seniors-en-plein-air-35407,https://www.paris.fr/pages/appel-a-projet-sport-seniors-en-plein-air-35407,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; subvention; association; associations; education
bd69693bb3,2026-07-02,A - à traiter vite,59,nouveau,Appel à projets collaboratifs - Innovation de Rupture et Résilience Industrielle (IRRI) | Région Île-de-France,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; insertion; vie associative,,"Dépôt des demandes ouvert jusqu'au 30 août 2026 Public Très petites entreprises, Petites et moyennes entreprises, Entreprises de taille intermédiaire, Grandes entreprises Partager ",2026-08-30,ouvert,https://www.iledefrance.fr/aides-et-appels-a-projets/appel-projets-collaboratifs-innovation-de-rupture-et-resilience-industrielle-irri,https://www.iledefrance.fr/aides-et-appels-a-projets/appel-projets-collaboratifs-innovation-de-rupture-et-resilience-industrielle-irri,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; financement; association; associations; etudiant
c3d6ec80aa,2026-07-02,A - à traiter vite,59,nouveau,Appel à projets Ingénierie et Formations professionnelles (IFP Île-de-France) | Région Île-de-France,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; insertion; vie associative,,"Dépôt des demandes ouvert jusqu'au 31 décembre 2026 Public Établissement d'enseignement secondaire, Organisme de formation (OF, OPCO, FSS, CFA",2026-12-31,ouvert,https://www.iledefrance.fr/aides-et-appels-a-projets/appel-projets-ingenierie-et-formations-professionnelles-ifp-ile-de-france,https://www.iledefrance.fr/aides-et-appels-a-projets/appel-projets-ingenierie-et-formations-professionnelles-ifp-ile-de-france,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; financement; association; associations; etudiant
e4f3e86b47,2026-07-02,A - à traiter vite,56,nouveau,Candidatez pour développer l'offre parasportive - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,subvention,Paris,vie associative,,clôture : jeudi 9 juillet 2026 23h59 Comité de sélection des projets : septembre 2026 Vote des projets par le conseil de Paris : novembre 2026 ? Votre avis nous intéresse ! Ces inf,2026-07-09,ouvert,https://www.paris.fr/pages/developpement-de-l-offre-parasportive-35404,https://www.paris.fr/pages/developpement-de-l-offre-parasportive-35404,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; subvention; association; associations
23c8fffa48,2026-07-02,A - à traiter vite,56,nouveau,Associations de commerçants : préparez vos - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,subvention,Paris,égalité des chances; jeunesse; vie associative,,avant le 15 juillet 2026 à minuit,2026-07-15,ouvert,https://www.paris.fr/pages/associations-de-commercants-preparez-vos-illuminations-de-fetes-de-fin-d-annee-2026-34200,https://www.paris.fr/pages/associations-de-commercants-preparez-vos-illuminations-de-fetes-de-fin-d-annee-2026-34200,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; subvention; financement; association; associations
2eb34852c0,2026-07-02,A - à traiter vite,52,nouveau,EA / AC120 - Accréditation - Conseils à la candidature | Agence ERASMUS+ France / Éducation Formation,Erasmus+ France - Appels,subvention,Europe,égalité des chances; aide aux étudiants; jeunesse; éducation/orientation; Europe,,éder à la version anglaise Recevez la newsletter Suivez l’agence sur les réseaux Mentions légales fermer Événement EA / AC120 - Accréditation - Conseils à la candidature 09 Juillet,2026-07-09,ouvert,https://agence.erasmusplus.fr/evenements/ea-ac120-accreditation-conseils-a-la-candidature/,https://agence.erasmusplus.fr/evenements/ea-ac120-accreditation-conseils-a-la-candidature/,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,etudiant; étudiant; etudiante; étudiante; education; éducation; inclusion
8ce5ee11b0,2026-07-02,A - à traiter vite,52,nouveau,Erasmus+ 2026 : une demande toujours plus forte en France | Agence ERASMUS+ France / Éducation Formation,Erasmus+ France - Appels,subvention,Europe,égalité des chances; aide aux étudiants; jeunesse; éducation/orientation; Europe,,"avant les dates suivantes : 12 février 2026 à 12 h , heure de Bruxelles 1er octobre 2026 à 12h , heure de Bruxelles Les candidatures à l’accréditation Erasmus dans le domaine de la",2026-10-01,ouvert,https://www.erasmusplus-jeunesse.fr/guide_programme_2026,https://agence.erasmusplus.fr/2026/06/11/erasmus-2026-une-demande-toujours-plus-forte-en-france/,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,etudiant; étudiant; etudiante; étudiante; education; éducation; inclusion; deadline via recherche web (page résultat): https://www.erasmusplus-jeunesse.fr/guide_programme_2026
a49c0cf005,2026-07-02,B - intéressant,45,nouveau,Appel à projets « Paris Emplois à Domicile » 2026 - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,appel à projets,Paris,insertion,,jusqu'au 30 juillet 2026 inclus,2026-07-30,ouvert,https://www.paris.fr/pages/appel-a-projets-paris-emplois-a-domicile-2022-formations-professionnelles-aux-metiers-des-services-a-la-personne-et-du-soin-21023,https://www.paris.fr/pages/appel-a-projets-paris-emplois-a-domicile-2022-formations-professionnelles-aux-metiers-des-services-a-la-personne-et-du-soin-21023,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet
